UA,SU,DOMINIO,v,bio,carbono
PR_234,3,Floresta Ombrófila Mista,17.640341078121192,9963.755391999994,4882.24014208
PR_234,4,Floresta Ombrófila Mista,0.28951806662617535,189.40552000000002,92.80870480000002
PR_258,1,Floresta Estacional Semidecidual,0.3740017351123117,98.9448719840108,48.482987272165296
PR_258,2,Floresta Estacional Semidecidual,,,
PR_258,3,Floresta Estacional Semidecidual,,,
PR_258,4,Floresta Estacional Semidecidual,,,
PR_259,1,Floresta Ombrófila Mista,,,
PR_259,2,Floresta Ombrófila Mista,,,
PR_259,3,Floresta Ombrófila Mista,,,
PR_259,4,Floresta Ombrófila Mista,,,
PR_260,1,Floresta Ombrófila Mista,,,
PR_260,2,Floresta Ombrófila Mista,,,
PR_260,3,Floresta Ombrófila Mista,,,
PR_260,4,Floresta Ombrófila Mista,,,
PR_261,1,Floresta Ombrófila Mista,0.6263756670759494,343.27675,168.20560749999999
PR_261,2,Floresta Ombrófila Mista,,,
PR_261,3,Floresta Ombrófila Mista,0.6654551541531858,357.008096,174.93396704000003
PR_261,4,Floresta Ombrófila Mista,,,
PR_262,1,Floresta Ombrófila Mista,,,
PR_262,2,Floresta Ombrófila Mista,,,
PR_262,3,Floresta Ombrófila Mista,2.876559711755404,1389.6179659999996,680.9128033400001
PR_262,4,Floresta Ombrófila Mista,,,
PR_263,1,Floresta Ombrófila Mista,7.208719297461994,3841.6786939999997,1882.4225600599998
PR_263,2,Floresta Ombrófila Mista,10.693951157788831,5126.66144,2512.0641056
PR_263,3,Floresta Ombrófila Mista,5.511344624089464,3177.2900100000006,1556.8721048999998
PR_263,4,Floresta Ombrófila Mista,14.786467700862064,6400.455796,3136.22334004
PR_264,1,Floresta Ombrófila Mista,3.7571486745704377,1965.6962760000001,963.19117524
PR_264,2,Floresta Ombrófila Mista,,,
PR_264,3,Floresta Ombrófila Mista,,,
PR_264,4,Floresta Ombrófila Mista,7.286756315307553,3905.4591020000003,1913.6749599799998
PR_265,1,Floresta Ombrófila Mista,8.930871200866234,5010.958878000002,2455.36985022
PR_265,2,Floresta Ombrófila Mista,36.16584639918845,17005.524103999996,8332.70681096
PR_265,3,Floresta Ombrófila Mista,16.38175988708765,8122.231318,3979.89334582
PR_265,4,Floresta Ombrófila Mista,7.7189678365046746,3749.9931,1837.496619
PR_266,1,Floresta Ombrófila Mista,,,
PR_266,2,Floresta Ombrófila Mista,0.1266780120810441,51.32843999999998,25.15093559999999
PR_266,3,Floresta Ombrófila Mista,,,
PR_266,4,Floresta Ombrófila Mista,,,
PR_288,1,Floresta Ombrófila Mista,0.08385053433597217,33.00280000000001,16.171372
PR_288,2,Floresta Ombrófila Mista,4.711279353943767,2612.541211,1280.14519339
PR_288,3,Floresta Ombrófila Mista,0.059305942311296427,17.23,8.4427
PR_288,4,Floresta Ombrófila Mista,27.441058062499426,11537.740616000001,5653.492901839997
PR_289,1,Floresta Ombrófila Mista,0.09129008491735444,60.22845000000001,29.511940500000005
PR_289,2,Floresta Ombrófila Mista,,,
PR_289,3,Floresta Ombrófila Mista,,,
PR_289,4,Floresta Ombrófila Mista,,,
PR_290,1,Floresta Ombrófila Mista,14.79921893005205,7293.422167999997,3573.7768623199995
PR_290,2,Floresta Ombrófila Mista,6.918204035095331,3564.1456299999995,1746.4313587000001
